Company,Model,hash_rate,power_consumption
Bitmain,Antminer S19 XP,140,3010
MicroBT,Whatsminer M30S++,112,3472
Bitmain,Antminer S19 Pro,110,3250
Bitmain,Antminer S19j Pro,100,3050
MicroBT,Whatsminer M30S+,100,3400
Bitmain,Antminer S19,95,3250
Canaan,Avalon 1246 90T,90,3420
Canaan,Avalon 1246,85,3421
Bitmain,Antminer T19,84,3150
Canaan,Avalon 1166 PRO,78,3276
MicroBT,Whatsminer M31S,74,3404
Bitmain,Antminer S17+,73,2920
MicroBT,Whatsminer M31S,70,3360
Canaan,Avalon 1166 68T,68,3196
MicroBT,Whatsminer M20S,68,3264
Innosilicon,T3+ Pro,67,3300
Canaan,Avalon 1146 Pro,63,3276
Innosilicon,T3+,57,3300
Canaan,Avalon 1146,56,3192
Bitmain,Antminer S17 Pro,50,1975
Innosilicon,T3,50,3100
